ts	phase	decision	why	evidence	result
2026-09-02T14:24:24Z	design	Keep MacroDoc JSON as the saved format and translate Blockly blocks at the UI boundary	Existing REST save and WebSocket run paths already consume MacroDoc JSON	frontend/src/lib/macro-document.ts, frontend/src/components/macro/macro-editor.tsx	implementation started
2026-09-02T14:24:24Z	dependencies	Added Blockly 13.2.1 and Vitest 4.1.11	The editor needs Blockly and the conversion layer needs repeatable tests	frontend/package.json, frontend/pnpm-lock.yaml	installed
2026-09-02T14:44:21Z	implementation	Added strict MacroDoc validation, custom macro blocks, and direct workspace conversion	Preserving MacroDoc as the boundary avoids backend and saved-file migrations	frontend/src/lib/macro-document.ts, frontend/src/components/macro/blockly/	complete
2026-09-02T14:44:21Z	safety	Reject unsupported JSON fields when switching to Blocks mode	A visual round trip must not silently discard data that Blockly cannot represent	frontend/src/lib/macro-document.test.ts	covered by tests
2026-09-02T14:44:21Z	verification	Covered conversion, invalid values, unknown fields, detached blocks, and nesting limits	These are the highest-risk semantic and data-loss boundaries	pnpm test: 2 files, 9 tests passed	passed
2026-09-02T14:44:21Z	visual-qa	Kept Blockly and JSON editors mounted and synchronized through the editor handle	Browser testing found that remounting the existing Diffs editor produced a blank JSON pane after visual edits	browser-recording-mtk7gibm.webm; frontend/src/components/macro/macro-editor.tsx	fixed and reverified in light and dark modes
2026-09-02T14:44:21Z	final-verification	Ran tests, TypeScript build, lint, production build, and diff whitespace checks	Confirm behavior, type safety, repository checks, and production bundling	9 tests passed; tsc passed; lint has 9 pre-existing warnings; vite build passed; git diff --check passed	passed with Vite chunk-size warning
2026-09-02T14:52:00Z	independent-review	Reviewed implementation with gpt-daybreak-blue-latest	A second model checked correctness, lifecycle, data-loss, and evidence claims	Reviewer flagged invalid-workspace dirty tracking, deferred event publication, incorrect nested-loop wording, stale load state, and missing interaction tests	four implementation flags fixed; interaction-test gap remains documented
2026-09-02T14:52:00Z	review-fixes	Track invalid block edits as dirty, publish workspace changes synchronously, correct loop wording, and clear stale load state	These fixes prevent unprompted data loss, stale saves/runs, misleading behavior, and prior-document leakage	frontend/src/components/macro/macro-editor.tsx, frontend/src/components/macro/blockly/macro-blockly-editor.tsx, frontend/src/components/macro/blockly/macro-blocks.ts	implemented
2026-09-02T14:52:00Z	reverification	Re-ran automated checks and changed a Blockly field in the browser	Confirm review fixes preserve behavior and make edits immediately dirty	9 tests passed; tsc passed; lint unchanged; git diff --check passed; browser showed repeat 2 and unsaved immediately	passed
2026-09-02T14:58:41Z	independent-rereview	Re-reviewed the first fix set with gpt-daybreak-blue-latest	Confirm the reported data-loss paths were closed	Reviewer found re-clicking Blocks could replace an invalid workspace from stale JSON	not verified; one release blocker found
2026-09-02T14:58:41Z	mode-safety	Made the active Blocks tab a no-op and disabled JSON mode while the block graph is invalid	An invalid graph cannot be represented in JSON and must be repaired or explicitly discarded	frontend/src/components/macro/macro-editor.tsx	release blocker fixed
2026-09-02T14:58:41Z	final-checks	Re-ran tests, TypeScript, lint, and whitespace checks after the mode-safety fix	Confirm the final review fix did not regress the implementation	9 tests passed; tsc passed; lint unchanged; git diff --check passed	passed
2026-09-02T14:59:35Z	final-independent-review	Verified the mode-safety fix with gpt-daybreak-blue-latest	Close the review loop after correcting the release blocker	Reviewer verified active Blocks no-op, invalid-workspace JSON lockout, and explicit Undo; no release blocker remains	verified
2026-09-02T14:59:35Z	production-build	Rebuilt the final implementation after all review fixes	Verify the exact handoff state bundles successfully	pnpm build; 6485 modules transformed; macro chunk 733.29 kB	passed with chunk-size warning
